date,price,signal,returns,strategy_returns,equity_curve
2025-09-25,949.85,1,-0.0012617633142315565,-0.02797554914343159,0.58317787147885
2025-09-26,945.05,1,-0.0050534294888667786,-0.022792516353661862,0.5698857803060746
2025-09-29,950.3,1,0.00555526162636899,-0.014444825313703169,0.56165387976079
2025-09-30,951.0,1,0.0007366094917395927,-0.006448311237852389,0.558032160736145
2025-10-01,965.25,1,0.014984227129337446,0.014960905444347694,0.5663808271278236
2025-10-03,965.15,1,-0.00010360010360010996,0.01611906865497914,0.5755103585651609
2025-10-06,973.45,1,0.00859969952857087,0.02977219767241679,0.5926445667228863
2025-10-07,982.5,1,0.009296830859314653,0.03351376690536245,0.6125063185897667
2025-10-08,978.7,1,-0.0038676844783714914,0.028909472935251368,0.6302135534297081
2025-10-09,977.1,1,-0.001634821702258149,0.012290424103655773,0.6379591452772312
2025-10-10,980.9,1,0.003889059461672284,0.016283083668928167,0.6483470874171383
2025-10-13,977.0,1,-0.003975940462840222,0.003707443677517075,0.6507507977272196
2025-10-14,977.15,1,0.00015353121801431335,-0.005435855963783265,0.6472134101224574
2025-10-15,978.25,1,0.0011257227651844115,-0.0004424487202273619,0.6469270513774347
2025-10-16,994.35,1,0.016457960644007175,0.017650333626037962,0.6583455296659555
2025-10-17,1002.55,1,0.008246593251872936,0.022007867416238613,0.6728343107969174
2025-10-20,1002.95,1,0.00039898259438442274,0.026382790473463258,0.6905855574420294
2025-10-21,1007.7,1,0.004736028715289997,0.03096528797073894,0.7119697380966552
2025-10-23,1008.8,1,0.0010915947206509014,0.03093115992620543,0.7339917879283414
2025-10-24,994.75,1,-0.013927438540840553,0.0005457607413577037,0.7343923718306716
2025-10-27,1002.95,1,0.008243277205328026,0.0005424446948127937,0.7347907390766821
2025-10-28,1003.55,0,0.0005982352061417728,-0.00025830269342985625,0.7346009406496713
2025-10-29,1007.85,0,0.004284788999053379,0.0,0.7346009406496713
2025-10-30,998.15,1,-0.009624448082552028,-0.001,0.7338663397090216
2025-10-31,987.3,1,-0.010870109702950437,-0.007368256374979287,0.7284590243730779
2025-11-03,992.65,1,0.005418819001316688,-0.010192714578990625,0.7210340494551531
2025-11-04,985.25,1,-0.007454792726540038,-0.018245742511672436,0.7078782478466459
2025-11-06,984.65,1,-0.0006089824917533404,-0.023139514002479156,0.6914982892185481
2025-11-07,982.3,1,-0.0023866348448687846,-0.015901700764795912,0.6805022903440264
