DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Apr-19,EQ,727.9,727.9,714.1,727.5,724,724.1,722.4,"1,467.90",599.85,12524411,"9,04,76,46,705.50",343101
18-Apr-19,EQ,722.5,722.5,712.75,724.1,715.7,717.05,716.8,"1,467.90",599.85,13801105,"9,89,26,53,588.75",302789
22-Apr-19,EQ,717.05,725.75,715,717.05,721.3,721.05,721.04,"1,467.90",599.85,6455426,"4,65,46,46,596.75",115955
23-Apr-19,EQ,723.9,730,718.4,721.05,725.8,728.2,726.32,"1,467.90",599.85,5516668,"4,00,68,55,184.00",130836
24-Apr-19,EQ,728.2,737.9,724,728.2,735,736.45,733.43,"1,467.90",599.85,8285120,"6,07,65,39,568.25",174385
25-Apr-19,EQ,736.45,737.65,727.05,736.45,730.05,728.55,730.72,"1,467.90",599.85,8005235,"5,84,96,11,510.20",174336
26-Apr-19,EQ,731,739.8,729,728.55,738.6,738,736.11,"1,467.90",599.85,6895168,"5,07,56,36,517.95",151426
30-Apr-19,EQ,738,753.8,738,738,748.85,751.35,748.61,"1,467.90",599.85,9920046,"7,42,62,41,722.40",165676
02-May-19,EQ,747,748.4,729.5,751.35,730.8,730.8,738.19,"1,467.90",599.85,6351352,"4,68,84,77,302.55",115522
03-May-19,EQ,722.9,731,718.2,730.8,723.65,723.6,725.26,"1,467.90",599.85,6348116,"4,60,40,58,031.10",133663
06-May-19,EQ,715,721.8,710.65,723.6,717.15,718.4,718.07,"1,467.90",599.85,8858265,"6,36,08,64,406.15",148896
07-May-19,EQ,720.4,727.9,718.7,718.4,724.4,724.55,724.51,"1,467.90",599.85,5747536,"4,16,41,26,682.95",104342
08-May-19,EQ,721,726,716.5,724.55,718.95,719.35,721.65,"1,467.90",599.85,6247642,"4,50,86,02,896.15",162077
09-May-19,EQ,719.15,730.3,715.8,719.35,722,721.05,724.48,"1,467.90",599.85,7396525,"5,35,86,35,227.00",242225
10-May-19,EQ,720.8,726,715,721.05,716.5,716.85,717.88,"1,467.90",599.85,8352335,"5,99,59,42,203.30",181229
13-May-19,EQ,716.55,726.45,712.1,716.85,718,719.7,720.09,"1,467.90",599.85,6808993,"4,90,30,97,928.50",201194
14-May-19,EQ,716.5,717.75,703.6,719.7,713.6,713.85,711.18,"1,467.90",599.85,10513001,"7,47,66,75,550.50",252851
15-May-19,EQ,714.9,725.2,712.6,713.85,715.35,716.1,719.58,"1,467.90",599.85,6668929,"4,79,88,49,588.65",139499
16-May-19,EQ,720,737,719.1,716.1,733.15,733.1,730.03,"1,467.90",599.85,6468556,"4,72,22,70,060.85",137776
17-May-19,EQ,733.15,735.8,720.1,733.1,724.5,723.9,725.44,"1,467.90",599.85,8155948,"5,91,66,46,100.85",126562
